seam: 883
Timestamp; SEAM_LENGTH_MM;Timestamp; OCT_AVERAGE_SENSOR_BRIGHTNESS;Timestamp; OCT_OVEREXPOSED_POINTS;Timestamp; WELDING_DEPTH_SURFACE_2;Timestamp; OCT_INTERLOCK;Timestamp; OCT_FOCUS_SETPOINT;Timestamp; OCT_FOCUS_POS;Timestamp; OCT_REFERENCE_ARM_SETPOINT;Timestamp; OCT_REFERENCE_ARM_POS;Timestamp; OCT_SCANNER_ANGLE;Timestamp; OCT_SCANNER_SCALE;Timestamp; OCT_SCANNER_ORIGIN_X;Timestamp; OCT_SCANNER_ORIGIN_Y;Timestamp; OCT_OPTICS_ERROR_CORRECTION_X;Timestamp; OCT_OPTICS_ERROR_CORRECTION_Y;Timestamp; LASER_OPTICS_OFFSET_X;Timestamp; LASER_OPTICS_OFFSET_Y;Timestamp; LASER_OPTICS_OFFSET_Z;Timestamp; LASER_OPTICS_POSITION_X;Timestamp; LASER_OPTICS_POSITION_Y;Timestamp; LASER_OPTICS_POSITION_Z;Timestamp; LASER_OPTICS_POSITION_R;Timestamp; LASER_OPTICS_POSITION_PHI;Timestamp; LASER_OPTICS_VELOCITY_X;Timestamp; LASER_OPTICS_VELOCITY_Y;Timestamp; LASER_OPTICS_VELOCITY_Z;Timestamp; LASER_OPTICS_SPEED;Timestamp; LASER_OPTICS_VIEWING_ANGLE;Timestamp; PFO_COMMUNICATION;Timestamp; FRAME_CALC_TIME;Timestamp; FRAME_DELAY;Timestamp; OCT_DELAY;Timestamp; OCT_SCANNER_TEMP;Timestamp; OCT_SENSOR_REFERENCE_TEMP;Timestamp; OCT_SENSOR_SAMPLE_FIBER_TEMP;Timestamp; OCT_ACQUIRED_FRAMES;Timestamp; OCT_ACQUIRED_FRAMES_RATIO;
4904.000000;0.000000;4904.000000;1091.479659;4904.000000;63.000000;4904.000000;-0.355318;4904.000000;1.000000;4904.000000;-2.997000;4904.000000;-2.997000;4904.000000;-298.575000;4904.000000;-295.720192;4904.000000;270.000000;4904.000000;0.000000;4904.000000;-0.141177;4904.000000;3.230770;4904.000000;0.000000;4904.000000;0.000000;7566.000000;0.000000;7566.000000;0.000000;7566.000000;0.000000;4904.000000;0.000000;4904.000000;0.000000;4904.000000;0.000000;4904.000000;0.000000;4904.000000;0.000000;4904.000000;0.000000;4904.000000;0.000000;4904.000000;0.000000;4904.000000;0.000000;4904.000000;0.000000;4904.000000;1.000000;4904.000000;0.294000;4904.000000;2.648000;4904.000000;2.581000;4904.000000;0.000000;4904.000000;29.795000;4904.000000;26.379999;301257.000000;142.000000;301257.000000;0.865854;
7028.000000;0.000000;7028.000000;1091.180109;7028.000000;63.000000;7028.000000;-0.355318;7028.000000;1.000000;7028.000000;-2.997000;7028.000000;-2.997000;7028.000000;-298.575000;7028.000000;-295.720192;7028.000000;270.000000;7028.000000;0.000000;7028.000000;-0.141177;7028.000000;3.230770;7028.000000;0.000000;7028.000000;0.000000;9687.000000;0.000000;9687.000000;0.000000;9687.000000;0.000000;7028.000000;0.000000;7028.000000;0.000000;7028.000000;0.000000;7028.000000;0.000000;7028.000000;0.000000;7028.000000;0.000000;7028.000000;0.000000;7028.000000;0.000000;7028.000000;0.000000;7028.000000;0.000000;7028.000000;1.000000;7028.000000;0.247000;7028.000000;2.652000;7028.000000;2.590000;7028.000000;0.000000;7028.000000;29.795000;7028.000000;26.379999;;;;;
9149.000000;0.000000;9149.000000;1083.343434;9149.000000;63.000000;9149.000000;-0.355318;9149.000000;1.000000;9149.000000;-2.997000;9149.000000;-2.997000;9149.000000;-298.575000;9149.000000;-295.720192;9149.000000;270.000000;9149.000000;0.000000;9149.000000;-0.141177;9149.000000;3.230770;9149.000000;0.000000;9149.000000;0.000000;11793.000000;0.000000;11793.000000;0.000000;11793.000000;0.000000;9149.000000;0.000000;9149.000000;0.000000;9149.000000;0.000000;9149.000000;0.000000;9149.000000;0.000000;9149.000000;0.000000;9149.000000;0.000000;9149.000000;0.000000;9149.000000;0.000000;9149.000000;0.000000;9149.000000;1.000000;9149.000000;0.221000;9149.000000;2.639000;9149.000000;2.578000;9149.000000;0.000000;9149.000000;29.795000;9149.000000;26.379999;;;;;
11266.000000;0.000000;11266.000000;1086.837524;11266.000000;63.000000;11266.000000;-0.343600;11266.000000;1.000000;11266.000000;-2.997000;11266.000000;-2.997000;11266.000000;-298.575000;11266.000000;-295.720192;11266.000000;270.000000;11266.000000;0.000000;11266.000000;-0.141177;11266.000000;3.230770;11266.000000;0.000000;11266.000000;0.000000;13905.000000;0.000000;13905.000000;0.000000;13905.000000;0.000000;11266.000000;0.000000;11266.000000;0.000000;11266.000000;0.000000;11266.000000;0.000000;11266.000000;0.000000;11266.000000;0.000000;11266.000000;0.000000;11266.000000;0.000000;11266.000000;0.000000;11266.000000;0.000000;11266.000000;1.000000;11266.000000;0.219000;11266.000000;2.634000;11266.000000;2.578000;11266.000000;0.000000;11266.000000;29.795000;11266.000000;26.379999;;;;;
13385.000000;0.000000;13385.000000;1083.440507;13385.000000;63.000000;13385.000000;-0.343600;13385.000000;1.000000;13385.000000;-2.997000;13385.000000;-2.997000;13385.000000;-298.575000;13385.000000;-295.723919;13385.000000;270.000000;13385.000000;0.000000;13385.000000;-0.141177;13385.000000;3.230770;13385.000000;0.000000;13385.000000;0.000000;16021.000000;0.000000;16021.000000;0.000000;16021.000000;0.000000;13385.000000;0.000000;13385.000000;0.000000;13385.000000;0.000000;13385.000000;0.000000;13385.000000;0.000000;13385.000000;0.000000;13385.000000;0.000000;13385.000000;0.000000;13385.000000;0.000000;13385.000000;0.000000;13385.000000;1.000000;13385.000000;0.236000;13385.000000;2.631000;13385.000000;2.587000;13385.000000;0.000000;13385.000000;29.795000;13385.000000;26.379999;;;;;
15492.000000;0.000000;15492.000000;1089.770336;15492.000000;63.000000;15492.000000;-0.331882;15492.000000;1.000000;15492.000000;-2.997000;15492.000000;-2.997000;15492.000000;-298.575000;15492.000000;-295.722499;15492.000000;270.000000;15492.000000;0.000000;15492.000000;-0.141177;15492.000000;3.230770;15492.000000;0.000000;15492.000000;0.000000;18173.000000;0.000000;18173.000000;0.000000;18173.000000;0.000000;15492.000000;0.000000;15492.000000;0.000000;15492.000000;0.000000;15492.000000;0.000000;15492.000000;0.000000;15492.000000;0.000000;15492.000000;0.000000;15492.000000;0.000000;15492.000000;0.000000;15492.000000;0.000000;15492.000000;1.000000;15492.000000;0.224000;15492.000000;2.677000;15492.000000;2.624000;15492.000000;0.000000;15492.000000;29.795000;15492.000000;26.379999;;;;;
17605.000000;0.000000;17605.000000;1087.741849;17605.000000;63.000000;17605.000000;-0.320164;17605.000000;1.000000;17605.000000;-2.997000;17605.000000;-2.997000;17605.000000;-298.575000;17605.000000;-295.722676;17605.000000;270.000000;17605.000000;0.000000;17605.000000;-0.141177;17605.000000;3.230770;17605.000000;0.000000;17605.000000;0.000000;20277.000000;0.000000;20277.000000;0.000000;20277.000000;0.000000;17605.000000;0.000000;17605.000000;0.000000;17605.000000;0.000000;17605.000000;0.000000;17605.000000;0.000000;17605.000000;0.000000;17605.000000;0.000000;17605.000000;0.000000;17605.000000;0.000000;17605.000000;0.000000;17605.000000;1.000000;17605.000000;0.241000;17605.000000;2.666000;17605.000000;2.609000;17605.000000;0.000000;17605.000000;29.795000;17605.000000;26.379999;;;;;
19724.000000;0.000000;19724.000000;1085.386469;19724.000000;63.000000;19724.000000;-0.320164;19724.000000;1.000000;19724.000000;-2.997000;19724.000000;-2.997000;19724.000000;-298.575000;19724.000000;-295.720192;19724.000000;270.000000;19724.000000;0.000000;19724.000000;-0.141177;19724.000000;3.230770;19724.000000;0.000000;19724.000000;0.000000;22350.000000;0.000000;22350.000000;0.000000;22350.000000;0.000000;19724.000000;0.000000;19724.000000;0.000000;19724.000000;0.000000;19724.000000;0.000000;19724.000000;0.000000;19724.000000;0.000000;19724.000000;0.000000;19724.000000;0.000000;19724.000000;0.000000;19724.000000;0.000000;19724.000000;1.000000;19724.000000;0.239000;19724.000000;2.620000;19724.000000;2.576000;19724.000000;0.000000;19724.000000;29.795000;19724.000000;26.379999;;;;;
21841.000000;0.000000;21841.000000;1079.610069;21841.000000;63.000000;21841.000000;-0.308446;21841.000000;1.000000;21841.000000;-2.997000;21841.000000;-2.997000;21841.000000;-298.575000;21841.000000;-295.722321;21841.000000;270.000000;21841.000000;0.000000;21841.000000;-0.141177;21841.000000;3.230770;21841.000000;0.000000;21841.000000;0.000000;24480.000000;0.000000;24480.000000;0.000000;24480.000000;0.000000;21841.000000;0.000000;21841.000000;0.000000;21841.000000;0.000000;21841.000000;0.000000;21841.000000;0.000000;21841.000000;0.000000;21841.000000;0.000000;21841.000000;0.000000;21841.000000;0.000000;21841.000000;0.000000;21841.000000;1.000000;21841.000000;0.220000;21841.000000;2.634000;21841.000000;2.590000;21841.000000;0.000000;21841.000000;29.795000;21841.000000;26.379999;;;;;
23958.000000;0.000000;23958.000000;1087.601407;23958.000000;63.000000;23958.000000;-0.296728;23958.000000;1.000000;23958.000000;-2.997000;23958.000000;-2.997000;23958.000000;-298.575000;23958.000000;-295.720192;23958.000000;270.000000;23958.000000;0.000000;23958.000000;-0.141177;23958.000000;3.230770;23958.000000;0.000000;23958.000000;0.000000;26579.000000;0.000000;26579.000000;0.000000;26579.000000;0.000000;23958.000000;0.000000;23958.000000;0.000000;23958.000000;0.000000;23958.000000;0.000000;23958.000000;0.000000;23958.000000;0.000000;23958.000000;0.000000;23958.000000;0.000000;23958.000000;0.000000;23958.000000;0.000000;23958.000000;1.000000;23958.000000;0.232000;23958.000000;2.613000;23958.000000;2.569000;23958.000000;0.000000;23958.000000;29.795000;23958.000000;26.379999;;;;;
